Location,Day,Hour,Weather,Exam_Week,Event_Day,Previous_Crowd,Crowd_Level
Main Block,Tuesday,14,Rain,No,No,Low,Medium
Canteen,Wednesday,17,Normal,No,No,Medium,High
Bus Stop,Thursday,21,Normal,Yes,Yes,Low,Medium
Cafeteria,Wednesday,20,Normal,No,No,Low,Low
Library,Monday,12,Normal,No,No,Low,Medium
Canteen,Tuesday,12,Rain,No,No,Low,Medium
Bus Stop,Saturday,20,Hot,Yes,No,Low,Low
Cafeteria,Wednesday,16,Hot,Yes,No,Low,Low
Bus Stop,Tuesday,15,Hot,No,No,Low,Low
Sports Complex,Monday,21,Rain,No,No,Low,Low
Canteen,Wednesday,14,Normal,No,No,Low,Low
Canteen,Thursday,13,Normal,No,No,Medium,High
Bus Stop,Tuesday,16,Normal,No,No,Low,Low
Library,Tuesday,13,Normal,No,No,Low,Medium
Library,Friday,10,Normal,No,No,Low,Medium
Cafeteria,Monday,7,Rain,No,No,Low,Low
Bus Stop,Friday,7,Normal,No,No,Low,Low
Sports Complex,Friday,13,Normal,No,No,Low,Medium
Sports Complex,Tuesday,9,Rain,No,No,Low,Low
Library,Thursday,20,Normal,No,No,Low,Low
Canteen,Friday,8,Hot,No,Yes,Low,High
Sports Complex,Thursday,12,Normal,Yes,No,Low,Medium
Main Block,Tuesday,13,Normal,No,No,Low,Medium
Cafeteria,Tuesday,14,Rain,No,No,Low,Low
Main Block,Tuesday,20,Normal,No,No,Low,Low
Bus Stop,Tuesday,20,Rain,No,No,Low,Low
Canteen,Thursday,17,Normal,No,No,Medium,High
Sports Complex,Wednesday,17,Normal,No,No,Low,Medium
Library,Friday,13,Rain,Yes,No,Medium,High
Main Block,Thursday,9,Normal,No,No,Low,Low
Sports Complex,Tuesday,17,Normal,Yes,No,Medium,High
Library,Thursday,8,Normal,No,No,Low,Medium
Main Block,Tuesday,11,Rain,No,No,Low,Low
Bus Stop,Friday,10,Normal,Yes,No,Low,Low
Canteen,Monday,21,Normal,No,Yes,Medium,High
Sports Complex,Saturday,10,Normal,Yes,No,Low,Low
Library,Tuesday,12,Rain,No,No,Low,Low
Canteen,Wednesday,10,Rain,No,Yes,Low,Low
Library,Thursday,18,Rain,No,No,Medium,High
Bus Stop,Wednesday,21,Hot,Yes,No,Low,Low
Sports Complex,Friday,15,Hot,No,No,Low,Low
Cafeteria,Friday,7,Normal,Yes,No,Low,Low
Library,Thursday,18,Normal,No,No,Medium,High
Library,Thursday,8,Normal,No,No,Low,Low
Library,Saturday,7,Normal,No,No,Low,Low
Canteen,Friday,13,Rain,No,No,Low,Low
Canteen,Tuesday,11,Rain,Yes,No,Low,Low
Canteen,Monday,17,Normal,Yes,No,Medium,High
Sports Complex,Friday,14,Hot,No,No,Low,Low
Sports Complex,Friday,21,Normal,No,No,Low,Low
Canteen,Friday,14,Normal,Yes,No,Low,High
Cafeteria,Friday,7,Normal,Yes,No,Low,Low
Main Block,Friday,9,Hot,No,No,Low,Low
Library,Friday,15,Rain,No,No,Low,Low
Sports Complex,Wednesday,13,Normal,No,No,Medium,Medium
Cafeteria,Wednesday,10,Normal,No,Yes,Low,Medium
Bus Stop,Monday,10,Normal,No,No,Low,Low
Library,Thursday,19,Hot,No,No,Medium,High
Sports Complex,Thursday,18,Normal,No,No,Low,Medium
Cafeteria,Tuesday,21,Normal,No,No,Low,Low
Bus Stop,Monday,10,Normal,No,No,Low,Low
Bus Stop,Monday,21,Normal,No,No,Low,Low
Canteen,Thursday,18,Rain,No,No,Medium,Medium
Library,Monday,8,Normal,No,Yes,Medium,High
Bus Stop,Wednesday,10,Normal,Yes,No,Low,Medium
Canteen,Tuesday,20,Rain,No,No,Low,Low
Sports Complex,Friday,20,Hot,No,No,Low,Low
Bus Stop,Thursday,8,Rain,Yes,No,Low,Medium
Main Block,Thursday,21,Normal,No,No,Low,Low
Bus Stop,Thursday,13,Normal,No,No,Medium,High
Library,Tuesday,18,Normal,No,No,Medium,Medium
Bus Stop,Wednesday,16,Normal,No,No,Low,Medium
Library,Tuesday,10,Normal,No,No,Low,Low
Cafeteria,Thursday,12,Hot,Yes,No,Medium,Medium
Cafeteria,Wednesday,9,Hot,No,No,Low,Low
Library,Friday,8,Normal,Yes,No,Medium,High
Cafeteria,Friday,9,Hot,Yes,No,Low,Medium
Cafeteria,Tuesday,17,Normal,Yes,Yes,Medium,High
Cafeteria,Tuesday,21,Normal,No,No,Low,Low
Sports Complex,Thursday,12,Normal,No,Yes,High,High
Bus Stop,Friday,21,Rain,No,No,Low,Low
Main Block,Monday,11,Hot,No,No,Low,Low
Cafeteria,Friday,7,Hot,No,No,Low,Low
Sports Complex,Saturday,8,Normal,No,No,Low,Low
Bus Stop,Monday,14,Normal,No,No,Medium,High
Main Block,Tuesday,12,Rain,No,No,Low,Low
Sports Complex,Thursday,15,Hot,Yes,No,Low,Low
Canteen,Saturday,21,Rain,No,No,Low,Low
Sports Complex,Tuesday,14,Normal,No,No,Medium,Medium
Bus Stop,Saturday,14,Normal,No,No,Low,Medium
Canteen,Thursday,18,Rain,No,Yes,High,Low
Bus Stop,Tuesday,13,Normal,No,Yes,High,Low
Bus Stop,Saturday,19,Normal,Yes,No,Medium,Medium
Sports Complex,Friday,20,Normal,No,Yes,Low,Low
Sports Complex,Friday,18,Rain,No,No,Low,Low
Cafeteria,Monday,10,Normal,Yes,No,Low,Low
Bus Stop,Friday,14,Normal,No,No,Low,High
Cafeteria,Monday,9,Normal,Yes,No,Low,Medium
Library,Wednesday,16,Rain,Yes,No,Low,High
Sports Complex,Wednesday,18,Normal,No,No,Medium,Medium
Library,Monday,11,Normal,Yes,No,Medium,High
Main Block,Friday,13,Normal,No,No,Low,Medium
Library,Monday,12,Hot,No,No,Medium,Medium
Bus Stop,Wednesday,12,Rain,Yes,No,Low,Medium
Sports Complex,Friday,13,Normal,No,No,Low,Medium
Library,Thursday,14,Hot,No,No,Low,Medium
Library,Monday,11,Hot,No,No,Low,Low
Main Block,Thursday,19,Hot,No,No,Low,Medium
Sports Complex,Thursday,9,Normal,No,No,Low,Medium
Bus Stop,Friday,7,Hot,Yes,No,Low,Low
Bus Stop,Friday,18,Normal,No,Yes,Medium,High
Canteen,Monday,7,Hot,Yes,Yes,Medium,High
Cafeteria,Thursday,7,Rain,No,No,Low,High
Bus Stop,Wednesday,20,Normal,No,No,Low,Low
Canteen,Tuesday,12,Rain,No,No,Low,Medium
Canteen,Friday,10,Normal,No,No,Low,Low
Main Block,Thursday,12,Hot,No,No,Medium,Medium
Canteen,Saturday,10,Normal,Yes,Yes,Low,Medium
Cafeteria,Thursday,12,Normal,No,No,Low,Medium
Bus Stop,Wednesday,11,Hot,No,No,Low,Low
Cafeteria,Monday,14,Normal,No,No,Low,Medium
Main Block,Thursday,16,Rain,No,No,Low,Low
Sports Complex,Friday,16,Normal,No,Yes,Low,Medium
Canteen,Tuesday,10,Hot,No,No,Low,Low
Main Block,Thursday,12,Normal,No,No,Low,Medium
Cafeteria,Friday,16,Normal,No,No,Low,Medium
Library,Wednesday,13,Hot,No,No,Low,Medium
Sports Complex,Friday,12,Normal,No,No,Low,Medium
Cafeteria,Monday,13,Normal,No,Yes,High,High
Canteen,Wednesday,15,Normal,No,No,Low,Medium
Bus Stop,Monday,11,Rain,No,No,Low,Low
Canteen,Tuesday,18,Hot,No,No,Medium,High
Canteen,Monday,9,Normal,Yes,Yes,Medium,High
Cafeteria,Monday,17,Rain,No,No,Low,Medium
Library,Monday,19,Hot,No,No,Medium,High
Canteen,Thursday,11,Normal,No,No,Low,Low
Canteen,Tuesday,14,Normal,No,No,Medium,Medium
Library,Wednesday,21,Normal,No,No,Low,Low
Library,Tuesday,9,Normal,No,No,Low,Medium
Sports Complex,Saturday,9,Normal,No,No,Low,Medium
Sports Complex,Monday,7,Hot,Yes,Yes,Low,Medium
Cafeteria,Friday,12,Rain,Yes,No,Low,Medium
Library,Monday,13,Normal,Yes,No,High,High
Canteen,Monday,18,Rain,No,Yes,High,High
Canteen,Tuesday,10,Normal,No,No,Low,Low
Canteen,Monday,15,Normal,No,Yes,Low,Medium
Canteen,Monday,12,Normal,No,Yes,High,High
Main Block,Friday,9,Normal,No,No,Low,Low
Bus Stop,Tuesday,7,Normal,No,No,Low,Low
Library,Friday,14,Normal,Yes,No,High,High
Cafeteria,Wednesday,17,Hot,No,No,Medium,Medium
Main Block,Friday,17,Normal,No,No,Medium,Medium
Library,Thursday,7,Normal,No,No,Low,Low
Sports Complex,Thursday,8,Normal,Yes,No,Low,Low
Cafeteria,Monday,14,Rain,No,No,Low,Medium
Sports Complex,Tuesday,13,Rain,No,No,Low,Low
Main Block,Friday,10,Normal,No,No,Low,Low
Cafeteria,Monday,19,Normal,Yes,No,Medium,High
Main Block,Thursday,18,Rain,No,No,Low,Low
Cafeteria,Saturday,7,Hot,No,No,Low,Low
Sports Complex,Wednesday,8,Normal,No,No,Low,Low
Sports Complex,Monday,13,Hot,Yes,No,Low,Low
Bus Stop,Monday,15,Rain,Yes,No,Low,Low
Canteen,Thursday,16,Rain,No,No,Low,High
Sports Complex,Wednesday,9,Normal,No,No,Low,Low
Sports Complex,Tuesday,9,Normal,Yes,No,Low,Low
Canteen,Wednesday,12,Normal,No,No,Medium,Medium
Main Block,Monday,8,Normal,No,No,Low,Medium
Sports Complex,Thursday,8,Normal,Yes,Yes,Low,Medium
Canteen,Friday,7,Rain,No,No,Low,Low
Library,Tuesday,21,Normal,Yes,No,Low,Medium
Sports Complex,Tuesday,11,Normal,No,No,Low,Low
Bus Stop,Thursday,18,Normal,No,No,Medium,High
Main Block,Wednesday,13,Rain,Yes,No,Low,Low
Main Block,Saturday,19,Normal,No,No,Low,Medium
Main Block,Saturday,12,Normal,Yes,No,Low,Medium
Canteen,Friday,20,Rain,Yes,No,Low,Low
Library,Wednesday,18,Normal,No,No,Low,High
Cafeteria,Monday,16,Normal,No,No,Low,Low
Canteen,Wednesday,16,Normal,No,No,Low,Low
Main Block,Monday,8,Normal,Yes,No,Low,Medium
Cafeteria,Thursday,11,Normal,No,No,Low,Low
Sports Complex,Monday,8,Hot,Yes,Yes,Low,Medium
Sports Complex,Friday,12,Normal,No,No,Low,Medium
Bus Stop,Monday,16,Rain,Yes,No,Low,Low
Bus Stop,Thursday,7,Hot,No,No,Low,Low
Bus Stop,Thursday,20,Normal,No,No,Low,Medium
Bus Stop,Friday,19,Rain,Yes,Yes,High,High
Bus Stop,Friday,11,Normal,No,No,Low,Low
Canteen,Monday,13,Normal,No,No,Low,Low
Bus Stop,Saturday,16,Normal,No,No,Low,Low
Sports Complex,Thursday,12,Hot,Yes,No,Medium,Medium
Bus Stop,Friday,11,Normal,No,No,Low,Low
Library,Tuesday,9,Rain,No,No,Low,Low
Cafeteria,Monday,20,Normal,No,Yes,Medium,Medium
Canteen,Tuesday,12,Rain,No,No,Low,Medium
Library,Tuesday,19,Normal,No,No,Medium,High
Bus Stop,Wednesday,15,Rain,No,No,Low,Medium
Main Block,Wednesday,17,Normal,No,No,Medium,High
Canteen,Thursday,21,Normal,No,No,Low,Low
Library,Friday,14,Normal,No,No,Medium,Medium
Main Block,Wednesday,21,Normal,Yes,No,Low,Low
Library,Monday,16,Hot,No,No,Low,Low
Library,Wednesday,13,Normal,Yes,No,Medium,High
Sports Complex,Wednesday,7,Normal,Yes,No,Low,Low
Sports Complex,Thursday,20,Normal,No,No,Low,Low
Library,Monday,12,Normal,Yes,No,Medium,High
Bus Stop,Friday,17,Normal,No,Yes,High,High
Main Block,Saturday,14,Normal,No,No,Low,Low
Bus Stop,Tuesday,18,Normal,Yes,No,Medium,High
Bus Stop,Monday,15,Normal,No,Yes,Medium,High
Bus Stop,Tuesday,21,Rain,No,No,Low,Low
Canteen,Friday,20,Hot,No,No,Low,Low
Library,Thursday,21,Normal,No,No,Low,Low
Bus Stop,Monday,16,Normal,No,Yes,Medium,High
Cafeteria,Friday,18,Hot,No,No,Medium,Low
Cafeteria,Wednesday,21,Normal,No,No,Low,Low
Main Block,Friday,12,Normal,No,No,Low,Medium
Sports Complex,Monday,17,Hot,Yes,No,Medium,High
Sports Complex,Friday,17,Normal,No,No,Medium,High
Canteen,Friday,9,Normal,No,No,Low,Low
Canteen,Wednesday,7,Normal,No,No,Low,Medium
Bus Stop,Friday,19,Normal,Yes,No,High,High
Cafeteria,Monday,17,Rain,No,No,Low,Medium
Bus Stop,Friday,15,Normal,No,No,Low,Low
Cafeteria,Monday,20,Hot,No,No,Low,Low
Main Block,Tuesday,13,Rain,No,No,Low,Medium
Canteen,Thursday,9,Normal,Yes,No,Low,Medium
Main Block,Wednesday,19,Normal,No,Yes,Medium,High
Library,Thursday,15,Normal,No,No,Low,Low
Main Block,Wednesday,17,Rain,No,No,Low,Medium
Cafeteria,Monday,12,Normal,No,No,Medium,High
Library,Thursday,13,Rain,No,No,Medium,Medium
Sports Complex,Thursday,19,Normal,No,No,Medium,Medium
Bus Stop,Wednesday,21,Hot,No,No,Low,Low
Library,Monday,14,Normal,No,No,Medium,Medium
Cafeteria,Thursday,20,Rain,No,No,Low,Low
Bus Stop,Thursday,19,Normal,No,Yes,Medium,High
Library,Tuesday,7,Hot,No,No,Low,Low
Bus Stop,Saturday,10,Normal,Yes,No,Low,Low
Main Block,Monday,10,Rain,No,No,Low,Low
Bus Stop,Friday,13,Normal,No,No,Medium,Medium
Cafeteria,Saturday,14,Normal,No,No,Low,Medium
Library,Tuesday,17,Hot,No,No,Medium,High
Canteen,Tuesday,7,Normal,No,No,Low,Low
Canteen,Saturday,9,Normal,Yes,No,Low,Medium
Cafeteria,Monday,9,Normal,No,No,Low,Medium
Library,Thursday,7,Hot,No,No,Low,Low
Library,Thursday,8,Hot,No,No,Low,Low
Cafeteria,Monday,14,Normal,Yes,Yes,High,High
Main Block,Thursday,15,Normal,No,No,Low,Low
Main Block,Monday,16,Normal,No,No,Low,Low
Sports Complex,Friday,13,Normal,Yes,No,Low,Medium
Bus Stop,Monday,12,Normal,No,Yes,Medium,High
Cafeteria,Thursday,14,Normal,No,No,Medium,Medium
Main Block,Monday,21,Hot,No,No,Low,Low
Library,Thursday,20,Normal,Yes,No,Low,Medium
Canteen,Monday,17,Normal,No,No,Medium,High
Cafeteria,Monday,15,Normal,No,No,Low,Low
Canteen,Thursday,7,Normal,No,No,Low,Low
Cafeteria,Monday,9,Normal,Yes,No,Low,Medium
Main Block,Friday,17,Hot,No,No,Low,Medium
Main Block,Monday,8,Normal,No,No,Low,Medium
Main Block,Thursday,20,Normal,Yes,No,Low,Low
Sports Complex,Wednesday,9,Hot,No,No,Low,Low
Library,Monday,14,Normal,Yes,Yes,High,High
Canteen,Friday,12,Rain,No,No,Medium,Medium
Sports Complex,Thursday,21,Rain,No,No,Low,Low
Canteen,Thursday,17,Normal,No,No,Medium,High
Canteen,Friday,19,Normal,No,No,Low,Medium
Main Block,Friday,11,Rain,No,No,Low,Low
Sports Complex,Wednesday,9,Normal,No,No,Low,Low
Main Block,Saturday,21,Hot,No,No,Low,Low
Cafeteria,Wednesday,21,Normal,No,No,Low,Low
Cafeteria,Monday,21,Normal,Yes,Yes,Medium,Medium
Canteen,Monday,21,Normal,Yes,No,Low,Low
Bus Stop,Wednesday,10,Normal,No,Yes,Medium,Medium
Library,Tuesday,13,Normal,No,No,Medium,Medium
Main Block,Wednesday,8,Rain,Yes,No,Low,Low
Main Block,Monday,19,Rain,No,No,Low,Low
Main Block,Tuesday,11,Normal,No,No,Low,Low
Canteen,Monday,10,Normal,Yes,No,Low,Medium
Bus Stop,Wednesday,8,Normal,No,No,Low,Medium
Main Block,Monday,15,Hot,No,No,Low,Low
Bus Stop,Friday,7,Normal,No,No,Low,Medium
Library,Wednesday,14,Normal,No,No,Low,Medium
Bus Stop,Friday,8,Normal,No,Yes,High,High
Main Block,Friday,17,Normal,No,No,Low,Medium
Cafeteria,Tuesday,15,Normal,No,No,Low,Low
Canteen,Tuesday,12,Normal,Yes,No,Medium,High
Canteen,Thursday,9,Rain,No,No,Low,Low
Bus Stop,Friday,17,Normal,No,No,Medium,High
Canteen,Monday,18,Normal,No,No,Medium,High
Bus Stop,Wednesday,7,Normal,No,No,Low,Low
Main Block,Tuesday,17,Rain,No,Yes,Low,High
Sports Complex,Saturday,17,Normal,Yes,No,Low,Low
Cafeteria,Friday,14,Normal,Yes,No,Medium,Medium
Canteen,Monday,12,Normal,No,No,Medium,High
Canteen,Wednesday,11,Hot,Yes,No,Low,Low
Canteen,Saturday,7,Normal,No,No,Low,Low
Main Block,Friday,14,Normal,No,Yes,Medium,High
Library,Friday,9,Rain,No,Yes,Low,Medium
Bus Stop,Monday,17,Normal,No,No,Low,High
Sports Complex,Tuesday,20,Normal,No,No,Low,Low
Cafeteria,Friday,14,Hot,Yes,No,Medium,High
Library,Tuesday,11,Normal,No,Yes,Low,Medium
Cafeteria,Thursday,17,Normal,No,No,Medium,High
Bus Stop,Monday,7,Rain,No,No,Low,Low
Library,Tuesday,17,Rain,No,No,Medium,Medium
Library,Monday,18,Rain,No,No,Low,Medium
Sports Complex,Friday,19,Rain,No,No,Low,Medium
Library,Wednesday,14,Normal,Yes,No,High,High
Bus Stop,Thursday,18,Normal,No,Yes,High,High
Cafeteria,Monday,9,Rain,No,Yes,Low,Medium
Canteen,Saturday,12,Normal,No,No,Low,Medium
Library,Tuesday,15,Normal,No,Yes,Medium,Medium
Library,Monday,9,Normal,No,No,Low,Low
Library,Monday,12,Normal,No,No,Low,Medium
Bus Stop,Monday,8,Hot,Yes,No,Low,Medium
Main Block,Monday,9,Normal,No,No,Low,Low
Sports Complex,Monday,19,Rain,No,No,Low,Low
Sports Complex,Saturday,20,Hot,No,No,Low,Low
Bus Stop,Thursday,12,Normal,No,No,Medium,High
Main Block,Monday,16,Normal,No,No,Low,Low
Canteen,Wednesday,18,Hot,No,No,Medium,High
Cafeteria,Saturday,18,Normal,No,No,Low,Medium
Sports Complex,Tuesday,12,Normal,No,No,Low,Medium
Main Block,Wednesday,19,Normal,Yes,No,Medium,High
Main Block,Friday,17,Normal,No,Yes,Medium,High
Sports Complex,Thursday,9,Normal,No,Yes,Low,Medium
Main Block,Saturday,20,Rain,No,No,Low,Low
Library,Wednesday,19,Normal,No,No,Medium,High
Sports Complex,Thursday,11,Normal,Yes,No,Low,Low
Canteen,Tuesday,13,Normal,No,Yes,High,High
Canteen,Wednesday,16,Normal,Yes,No,Low,Medium
Canteen,Friday,19,Normal,Yes,No,Medium,High
Canteen,Wednesday,17,Normal,No,Yes,High,High
Library,Wednesday,17,Rain,No,No,Low,Medium
Bus Stop,Wednesday,7,Hot,No,No,Low,Low
Bus Stop,Tuesday,8,Hot,Yes,No,Low,Low
Main Block,Tuesday,15,Hot,No,No,Low,Low
Canteen,Thursday,16,Normal,No,No,Low,Medium
Library,Wednesday,18,Hot,Yes,No,High,High
Cafeteria,Friday,7,Normal,No,No,Low,Low
Library,Tuesday,7,Normal,No,Yes,Low,Medium
Cafeteria,Thursday,12,Normal,Yes,No,Medium,High
Cafeteria,Thursday,18,Rain,No,Yes,Medium,High
Bus Stop,Friday,18,Normal,No,No,Medium,Medium
Bus Stop,Tuesday,12,Normal,No,No,Medium,Medium
Bus Stop,Monday,7,Hot,No,No,Low,Low
Main Block,Tuesday,8,Normal,No,No,Low,Low
Canteen,Tuesday,20,Normal,No,No,Low,Low
Library,Thursday,10,Normal,No,No,Low,Medium
Bus Stop,Monday,19,Hot,No,No,Medium,Medium
Library,Tuesday,11,Hot,No,Yes,Medium,Medium
Main Block,Tuesday,20,Normal,No,No,Low,Low
Sports Complex,Tuesday,10,Normal,No,No,Low,Medium
Canteen,Thursday,15,Normal,Yes,No,Low,Low
Main Block,Friday,12,Normal,No,No,Medium,Medium
Library,Thursday,12,Normal,Yes,No,Medium,High
Sports Complex,Wednesday,7,Normal,Yes,No,Low,Medium
Sports Complex,Tuesday,19,Rain,No,No,Low,Low
Bus Stop,Friday,14,Normal,No,No,Medium,Medium
Cafeteria,Friday,15,Normal,No,No,Low,Low
Main Block,Friday,14,Normal,No,Yes,Medium,High
Bus Stop,Wednesday,15,Hot,No,Yes,Medium,Medium
Main Block,Friday,18,Normal,No,Yes,High,High
Canteen,Friday,15,Rain,No,No,Low,Low
Library,Thursday,19,Normal,No,No,Medium,High
Bus Stop,Saturday,21,Rain,No,No,Low,Low
Library,Tuesday,8,Rain,No,No,Low,Low
Canteen,Wednesday,18,Normal,No,No,Low,Medium
Main Block,Monday,16,Normal,No,No,Low,Low
Main Block,Wednesday,9,Normal,Yes,No,Low,Medium
Library,Saturday,10,Hot,No,No,Low,Low
Sports Complex,Thursday,10,Normal,Yes,No,Low,Low
Library,Wednesday,17,Rain,Yes,No,Medium,High
Canteen,Wednesday,20,Normal,No,No,Low,Medium
Library,Friday,8,Normal,No,No,Low,Low
Main Block,Friday,12,Normal,Yes,No,Medium,Medium
Sports Complex,Saturday,10,Rain,No,No,Low,Low
Canteen,Saturday,7,Normal,No,No,Low,Low
Sports Complex,Friday,11,Rain,No,No,Low,Medium
Canteen,Thursday,12,Rain,No,No,Low,Medium
Main Block,Thursday,13,Normal,No,No,Low,Medium
Cafeteria,Thursday,18,Hot,No,No,Low,Medium
Sports Complex,Wednesday,17,Rain,Yes,No,Low,Medium
Library,Thursday,21,Normal,No,No,Low,Low
Sports Complex,Saturday,10,Normal,No,No,Low,Low
Bus Stop,Thursday,14,Normal,No,No,Low,Medium
Main Block,Saturday,10,Normal,No,No,Low,Low
Main Block,Tuesday,12,Normal,No,No,Medium,High
Sports Complex,Thursday,14,Normal,No,No,Low,Medium
Bus Stop,Tuesday,14,Normal,No,No,Medium,Medium
Bus Stop,Thursday,9,Hot,Yes,No,Low,Medium
Cafeteria,Wednesday,16,Rain,No,No,Low,Low
Sports Complex,Friday,13,Hot,No,No,Medium,Low
Sports Complex,Saturday,18,Rain,Yes,No,Low,Low
Cafeteria,Wednesday,10,Rain,No,No,Low,Low
Sports Complex,Thursday,11,Normal,No,No,Low,Low
Cafeteria,Monday,21,Hot,No,No,Low,Low
Sports Complex,Thursday,11,Normal,No,No,Low,Low
Cafeteria,Tuesday,20,Rain,No,No,Low,Low
Main Block,Monday,14,Normal,No,No,Low,Medium
Bus Stop,Monday,12,Hot,No,No,Medium,High
Canteen,Monday,17,Normal,Yes,No,Medium,High
Sports Complex,Thursday,8,Rain,Yes,No,Low,Low
Main Block,Friday,14,Rain,No,No,Low,Low
Sports Complex,Friday,15,Normal,No,No,Low,Low
Cafeteria,Friday,14,Rain,No,No,Low,Low
Library,Thursday,15,Normal,No,No,Low,Low
Bus Stop,Monday,21,Normal,No,No,Low,High
Cafeteria,Monday,13,Normal,Yes,No,Medium,High
Cafeteria,Friday,11,Hot,No,Yes,Low,Medium
Library,Wednesday,12,Normal,No,No,Low,Medium
Canteen,Friday,12,Rain,No,No,Low,Medium
Canteen,Tuesday,10,Rain,Yes,No,Low,Low
Bus Stop,Saturday,10,Hot,Yes,No,Low,Low
Cafeteria,Tuesday,15,Normal,No,No,Low,Low
Bus Stop,Thursday,10,Normal,No,No,Low,Low
Bus Stop,Wednesday,18,Normal,No,No,Medium,High
Canteen,Monday,16,Normal,No,No,Low,Low
Canteen,Thursday,18,Normal,No,No,Medium,High
Cafeteria,Thursday,9,Normal,No,No,Low,Medium
Cafeteria,Tuesday,7,Normal,Yes,No,Low,Low
Library,Saturday,17,Normal,Yes,No,Medium,Medium
Main Block,Wednesday,20,Normal,No,Yes,Low,Medium
Library,Monday,16,Normal,No,Yes,Low,Medium
Cafeteria,Tuesday,18,Normal,No,No,Low,Medium
Bus Stop,Wednesday,19,Normal,No,No,Medium,High
Cafeteria,Thursday,19,Normal,No,No,Medium,Medium
Cafeteria,Tuesday,17,Normal,Yes,No,Medium,High
Canteen,Friday,14,Hot,No,No,Medium,High
Main Block,Monday,10,Hot,No,No,Low,Low
Bus Stop,Friday,9,Normal,No,No,Low,Medium
Cafeteria,Saturday,12,Normal,No,Yes,Medium,High
Library,Wednesday,12,Normal,Yes,No,Medium,High
Sports Complex,Thursday,14,Normal,No,No,Low,Low
Bus Stop,Thursday,18,Normal,No,No,Medium,High
Library,Tuesday,19,Normal,No,No,Low,Medium
Main Block,Friday,8,Normal,Yes,No,Medium,Medium
Sports Complex,Thursday,14,Hot,No,No,Low,Low
Sports Complex,Friday,14,Normal,No,No,Low,Medium
Sports Complex,Saturday,13,Hot,No,No,Low,Low
Library,Saturday,11,Normal,Yes,No,Low,Medium
Bus Stop,Thursday,17,Hot,No,No,Low,Medium
Bus Stop,Tuesday,13,Normal,No,No,Medium,High
Main Block,Tuesday,14,Normal,No,No,Low,High
Main Block,Thursday,14,Rain,No,No,Low,Low
Sports Complex,Friday,9,Normal,No,No,Low,Low
Main Block,Thursday,18,Hot,No,No,Low,Medium
Sports Complex,Thursday,12,Normal,No,Yes,Medium,High
Sports Complex,Saturday,19,Normal,No,Yes,Medium,High
Sports Complex,Wednesday,18,Normal,No,No,Low,Medium
Bus Stop,Wednesday,9,Rain,No,No,Low,Low
Cafeteria,Friday,15,Hot,No,No,Low,Low
Bus Stop,Friday,12,Normal,No,No,Medium,Medium
Canteen,Wednesday,13,Normal,No,No,Medium,Medium
Sports Complex,Wednesday,11,Normal,No,Yes,Low,Low
Sports Complex,Tuesday,13,Normal,No,No,Low,Medium
Cafeteria,Tuesday,16,Normal,No,No,Low,Low
Cafeteria,Thursday,17,Normal,No,No,Medium,High
Canteen,Thursday,14,Normal,No,Yes,Medium,High
Sports Complex,Monday,9,Rain,No,No,Low,Low
Bus Stop,Monday,18,Rain,No,No,Low,Medium
Cafeteria,Saturday,13,Normal,No,Yes,Medium,High
Library,Tuesday,9,Rain,No,No,Low,Low
Main Block,Saturday,8,Hot,No,No,Low,Low
Library,Thursday,8,Normal,No,Yes,Medium,High
Main Block,Monday,7,Normal,No,No,Low,Low
Sports Complex,Friday,14,Normal,Yes,No,Low,Medium
Main Block,Thursday,9,Normal,No,No,Low,Low
Main Block,Friday,20,Normal,No,No,Low,Low
Cafeteria,Tuesday,21,Normal,No,No,Low,Low
Sports Complex,Wednesday,15,Normal,No,Yes,Low,Low
Cafeteria,Thursday,10,Normal,Yes,No,Low,Low
Canteen,Thursday,20,Normal,Yes,No,Low,High
Canteen,Thursday,9,Rain,No,Yes,Low,High
Sports Complex,Wednesday,13,Rain,No,No,Low,Medium
Canteen,Tuesday,14,Normal,No,No,Medium,High
Sports Complex,Monday,21,Rain,No,No,Low,Low
Canteen,Friday,19,Normal,No,No,Medium,High
Library,Wednesday,14,Normal,No,No,Medium,Medium
Bus Stop,Monday,10,Normal,No,No,Low,Low
Sports Complex,Thursday,7,Normal,Yes,No,Low,Low
Library,Tuesday,11,Normal,No,No,Low,Medium
Canteen,Monday,10,Normal,Yes,No,Low,Low
Sports Complex,Tuesday,13,Hot,No,No,Low,Medium
Bus Stop,Monday,16,Normal,No,No,Low,Low
Cafeteria,Wednesday,15,Hot,No,No,Low,Low
Library,Friday,15,Normal,No,No,Low,Low
Canteen,Tuesday,7,Normal,Yes,No,Low,Medium
Library,Wednesday,14,Normal,No,No,Low,Medium
Sports Complex,Thursday,19,Hot,No,No,Medium,Medium
Library,Wednesday,14,Normal,No,No,Medium,Medium
Main Block,Wednesday,14,Rain,Yes,No,Low,Low
Bus Stop,Monday,13,Normal,Yes,No,Medium,High
Canteen,Friday,9,Normal,No,No,Low,Medium
Canteen,Friday,13,Rain,Yes,No,Low,Medium
Canteen,Monday,16,Hot,No,No,Low,Low
Library,Wednesday,12,Normal,No,Yes,Medium,High
Library,Tuesday,15,Normal,No,No,Low,Low
Main Block,Thursday,13,Hot,No,No,Low,Medium
Cafeteria,Wednesday,9,Rain,No,No,Low,High
